,Unnamed: 0,FILENAME,NOBS,BANDS,RA,DEC,BRIGHTEST,RISE_z,RISE_i,RISE_r,MAX_r-i,MIN_r-i,MAX_i-z,MIN_i-z,MAX_SNR_z,MAX_SNR_i,MAX_SNR_r,CUT_1,CUT_2,CUT_3,CCD,MAG_r,MAG_i,MAG_z,EXPNUM_1,EXPNUM_2,EXPNUM_3,EXPNUM_4
7959,7959,RM_DES+LIGO_KN_SIGNAL/data/DES-0008_SN00010715.DAT,4,ir,77.390969,6.614503,r,0.0,-4.439999999999999,-0.28999999999999204,72.83000000000001,68.68,0.0,0.0,0.0,44.62280484788523,65.74030087094219,True,True,False,-1,21.510374059953048,21.88640341491059,99.9,0,0,0,0
7960,7960,RM_DES+LIGO_KN_SIGNAL/data/DES-0008_SN00010723.DAT,2,ir,78.146505,5.819066,i,0.0,0.0,0.0,-42.279999999999966,-42.279999999999966,0.0,0.0,0.0,74.34280434280434,80.2152080344333,True,True,False,-1,21.38385125851327,21.230933686894645,99.9,0,0,0,0
7961,7961,RM_DES+LIGO_KN_SIGNAL/data/DES-0008_SN00010724.DAT,4,ir,77.390969,6.614503,r,0.0,-6.324730000000001,-5.3314,8.81353,7.820200000000002,0.0,0.0,0.0,1.385503560528993,3.6591285162713736,True,True,False,-1,25.250913768326978,27.5,99.9,0,0,0,0
7962,7962,RM_DES+LIGO_KN_SIGNAL/data/DES-0008_SN00010759.DAT,4,ir,77.390969,6.614503,r,0.0,-2.5759999999999934,1.8900000000000008,52.074,47.608,0.0,0.0,0.0,17.379657603222554,32.05246078961601,True,True,False,-1,22.31542928899723,22.94366450635705,99.9,0,0,0,0
7963,7963,RM_DES+LIGO_KN_SIGNAL/data/DES-0008_SN00010762.DAT,2,ir,78.146505,5.819066,i,0.0,0.0,0.0,-21.4673,-21.4673,0.0,0.0,0.0,6.497951313569535,1.676136710405859,True,True,False,-1,25.650535301510207,23.923200280341803,99.9,0,0,0,0
7964,7964,RM_DES+LIGO_KN_SIGNAL/data/DES-0008_SN00010772.DAT,2,iz,78.248609,5.883248,z,0.0,0.0,0.0,0.0,0.0,-10.3338,-10.3338,2.301860890787065,-0.6850859950859951,0.0,True,True,False,-1,99.9,27.5,25.30577994139553,0,0,0,0
7965,7965,RM_DES+LIGO_KN_SIGNAL/data/DES-0008_SN00010779.DAT,2,ir,78.146505,5.819066,i,0.0,0.0,0.0,-1.4949,-1.4949,0.0,0.0,0.0,-0.2471570287926446,-0.7688359303391383,True,True,False,-1,27.5,27.5,99.9,0,0,0,0
7966,7966,RM_DES+LIGO_KN_SIGNAL/data/DES-0008_SN00010780.DAT,2,iz,78.248609,5.883248,i,0.0,0.0,0.0,0.0,0.0,21.334,21.334,12.272479564032698,15.060856864654331,0.0,True,True,False,-1,99.9,23.02129970995,23.480397771793466,0,0,0,0
7967,7967,RM_DES+LIGO_KN_SIGNAL/data/DES-0008_SN00010790.DAT,2,ir,78.146505,5.819066,r,0.0,0.0,0.0,45.96499999999999,45.96499999999999,0.0,0.0,0.0,23.313051777618707,42.493345164152615,True,True,False,-1,22.106584770594324,22.52520802732419,99.9,0,0,0,0
7968,7968,RM_DES+LIGO_KN_SIGNAL/data/DES-0008_SN00010797.DAT,2,iz,78.248609,5.883248,z,0.0,0.0,0.0,0.0,0.0,-8.1798,-8.1798,4.0106609808102345,1.2244537196169898,0.0,True,True,False,-1,99.9,25.75535803766809,24.70128291108841,0,0,0,0
7969,7969,RM_DES+LIGO_KN_SIGNAL/data/DES-0008_SN00010808.DAT,4,iz,77.002256,5.893483,z,11.8326,-5.841419999999999,0.0,0.0,0.0,2.3607000000000005,-15.313320000000001,4.770097442143727,1.6052617936754796,0.0,True,True,True,-1,99.9,28.634630823141514,24.51267400195569,0,0,0,0
7970,7970,RM_DES+LIGO_KN_SIGNAL/data/DES-0008_SN00010809.DAT,2,ir,78.146505,5.819066,i,0.0,0.0,0.0,-0.5719999999999992,-0.5719999999999992,0.0,0.0,0.0,5.496140858658948,6.754332623897841,True,True,False,-1,24.133384206057773,24.105782119169163,99.9,0,0,0,0
7971,7971,RM_DES+LIGO_KN_SIGNAL/data/DES-0008_SN00010812.DAT,4,ir,77.390969,6.614503,r,0.0,2.9329999999999927,-0.8279999999999887,10.72699999999999,6.966000000000008,0.0,0.0,0.0,18.00302038761641,21.607191500953423,True,True,False,-1,22.762936512051024,22.863840154098746,99.9,0,0,0,0
7972,7972,RM_DES+LIGO_KN_SIGNAL/data/DES-0008_SN00010814.DAT,2,ir,78.146505,5.819066,r,0.0,0.0,0.0,18.101,18.101,0.0,0.0,0.0,10.044733044733043,18.043098251959012,True,True,False,-1,23.057031260685964,23.44794278963892,99.9,0,0,0,0
7973,7973,RM_DES+LIGO_KN_SIGNAL/data/DES-0008_SN00010827.DAT,2,iz,78.248609,5.883248,i,0.0,0.0,0.0,0.0,0.0,11.2915,11.2915,1.8371986573085142,4.242097525116393,0.0,True,True,False,-1,99.9,24.404131891433806,25.550918598174494,0,0,0,0
7974,7974,RM_DES+LIGO_KN_SIGNAL/data/DES-0008_SN00010828.DAT,4,iz,77.002256,5.893483,i,3.1769,-6.199400000000002,0.0,0.0,0.0,6.1236000000000015,-3.2527,1.8771437290204451,2.3576315107540817,0.0,True,True,False,-1,99.9,26.34449182370841,25.52756507922792,0,0,0,0
7975,7975,RM_DES+LIGO_KN_SIGNAL/data/DES-0008_SN00010842.DAT,2,ir,78.146505,5.819066,r,0.0,0.0,0.0,1.5286999999999995,1.5286999999999995,0.0,0.0,0.0,-1.3685458504718122,-1.2610754659333945,True,True,False,-1,27.5,27.5,99.9,0,0,0,0
7976,7976,RM_DES+LIGO_KN_SIGNAL/data/DES-0008_SN00010845.DAT,2,ir,78.146505,5.819066,r,0.0,0.0,0.0,0.5644000000000009,0.5644000000000009,0.0,0.0,0.0,2.1737554374093757,2.914451219512195,True,True,False,-1,25.04892341388783,25.114997080796076,99.9,0,0,0,0
7977,7977,RM_DES+LIGO_KN_SIGNAL/data/DES-0008_SN00010850.DAT,4,ir,77.390969,6.614503,r,0.0,7.846000000000004,4.219999999999999,28.126000000000005,24.5,0.0,0.0,0.0,20.258859009801462,28.49281648143128,True,True,False,-1,22.445889909781393,22.734027697117924,99.9,0,0,0,0
7978,7978,RM_DES+LIGO_KN_SIGNAL/data/DES-0008_SN00010854.DAT,2,ir,78.146505,5.819066,i,0.0,0.0,0.0,-21.1166,-21.1166,0.0,0.0,0.0,5.704123462744152,0.775083969465649,True,True,False,-1,26.48859985226911,24.065192619038537,99.9,0,0,0,0
7979,7979,RM_DES+LIGO_KN_SIGNAL/data/DES-0008_SN00010865.DAT,2,iz,78.248609,5.883248,z,0.0,0.0,0.0,0.0,0.0,-32.58000000000001,-32.58000000000001,48.13309776207303,31.53734939759036,0.0,True,True,False,-1,99.9,22.20781678418188,21.96647126354305,0,0,0,0
